Nombre grupo,Nombre,Cod. Fact,Cod,FAM,Marca,Pdte 05.05,Fact a abr12,Fact a abr11,FC NT abr12,FC NT abr11,Ped a abr12,Ped a abr11,Fact_tot 2011,Fact_tot 2010,Pzas último pedido,Fecha últ. Ped.,Provincia,Dirección,Localidad,CP,Tel.
OPTICALIA,"VELEZ, OPTICA OPTICA VELEZ, S.L.",005767,005767,,MAC,,0,15,0.00,602.00,0.00,15.00,15,,,,VALENCIA,"P.GERMANIAS, 60",GANDIA (VALENCIA),46700,962877635
CIOSA,"RIBES, OPT. RIBES VICEDO INMACULADA",008337,003824,,MAC,,3,1,113.00,47.00,0.00,1.00,38,18,22,2011-10-19,VALENCIA,"DUQUE CARLOS DE BORJA, 18",GANDIA-VALENCIA,46701,962876084
CLIENTES IMPORTANTES,"LA ELIANA, C.OPT. CENTRE OPTIC L'ELIANA SL",007658,007658,,MAC,,1,16,49.00,645.00,1.00,16.00,28,14,4,2011-09-02,VALENCIA,"MARQUES DE CACERES, 20",LA ELIANA (VALENCIA),46183,961656902
,"LA POBLA, OPTICA C. OPT. LA POBLA LLARGA S.L",012939,012939,,MAC,,,,,,,,0,17,,,VALENCIA,"GLORIETA, 1 BAJO",LA POBLA LLARGA (VALENCIA),46670,962590522
CLARAVISION,"BONO CARRIO, OPTICA CARRIO SERVERA JULIAN",000187,000187,,MAC,,,,,,,,0,2,,,VALENCIA,"PLAZA MAYOR,6",LLOMBAY (VALENCIA),46195,962990940
CLIENTES IMPORTANTES,"RAUSELL, OPTICA RAUSELL GARCIA MARIA PILAR",001298,001298,,MAC,,0,12,0.00,480.00,0.00,15.00,14,,,,VALENCIA,"AVDA. MAYOR, 5",MASSAMAGRELL (VALENCIA),46130,961440239
MULTIOPTICAS,"BORJA, OPT. BORJA OPTICOS OLIVA S.L.",002714,002714,X13,MAC,3,2,7,77.00,254.00,5.00,9.00,9,3,5,2012-04-08,VALENCIA,ALEJANDRO CARDONA. 5,OLIVA (VALENCIA),46780,962839747
CIOSA,"JORGE, OPTICA BENAVENT ALONSO JORGE",008337,004482,,MAC,,18,18,710.00,692.00,18.00,14.00,41,11,18,2012-02-03,VALENCIA,"SAN JAIME, 1",ONTENIENTE (VALENCIA),46870,962911516
PRIMERA OPTICOS,NIKOL OPTICOS SERNA REVERT CONCEPCION,001975,001975,,MAC,,0,2,0.00,75.00,0.00,0.00,2,18,,,VALENCIA,"JOSE SIMO MARIN, 7",ONTENIENTE (VALENCIA),46870,962380954
FARMAOPTICS,"ESTIL VISIO, OPT. PENADES Y TORRO INMA",003072,003072,,MAC,,0,6,0.00,238.00,0.00,0.00,36,25,6,2011-09-16,VALENCIA,"SALVADOR TORMO, 32",ONTINYENT (VALENCIA),46870,962916151
ZAS VISION,"PALAU, OPT.PARAFARMACIA FAPEMAR 2009, S.L",003588,012942,,MAC,,,,,,,,0,14,,,VALENCIA,"MEDICO BALLESTER 17, BAJO",PATERNA (VALENCIA),46980,686170189
,"PATERNA, OPT. C. OPT. POBLA LLARGA, S.L",012936,012936,,MAC,,,,,,,,0,9,,,VALENCIA,"MAYOR, 7",PATERNA (VALENCIA),46980,961371775
ZAS VISION,"PORCAR, OPTICA PORCAR IZQUIERDO ESTEBAN",003588,005537,,MAC,,1,5,54.00,196.00,1.00,5.00,6,,,,VALENCIA,POETA LLORENTE 9,POBLA VALLBONA (VALENCIA),46185,962760587
CECOP,"VORA MAR, OPTICA MARTINEZ PAUL SOFIA",007979,007979,,MAC,,,,,,,,1,,,,VALENCIA,"VIRGEN DEL CARMEN, 34",PUERTO SAGUNTO (VALENCIA),46520,962683331
PROGRAM ITALOVISION,"PROGRAM VISION UNAX OPTICA, S.L.L.",011141,011141,,MAC,9,1,1,33.00,44.00,10.00,0.00,9,33,,,VALENCIA,"EL PESO, 22",REQUENA (VALENCIA),46340,962304381
REDVISUAL-PROVISION,"RIBELLES, OPTICA RIBELLES LERGA AMADEO",008242,008242,,MAC,1,22,15,802.00,647.00,24.00,15.00,15,,24,2012-02-21,VALENCIA,"HUERTOS, 25",SAGUNTO (VALENCIA),46500,962661212
REDVISUAL-PROVISION,"ALTUR, OPTICA ALTUR ALTUR ESTEFANIA",011065,011065,,MAC,,,,,,,,1,,,,VALENCIA,"FONT MENOR, 22",SIMAT VALLDIGNA (VALENCIA),46750,616345640
CLIENTES IMPORTANTES,"SIGNES, OPTICA SIGNES SANCHO VICENTA",002438,002438,,MAC,4,6,10,231.00,420.00,10.00,12.00,22,7,10,2012-03-26,VALENCIA,"CULLERA, 37",SUECA (VALENCIA),46410,961703673
VISTALIA,"SUECA, OPTICA ESTORNELL IBOR MARIA TERESA",005608,005608,Y26,MAC,,0,1,0.00,48.00,0.00,0.00,1,12,,,VALENCIA,"MARE DE DEU, 4",SUECA (VALENCIA),46410,961712616
CECOP,"TALIO, OPTICA GOMEZ NAVARRO EDUARDO",000694,000694,,MAC,8,6,8,267.00,357.00,14.00,8.00,17,,14,2012-04-08,VALENCIA,"MARE DE DEU, 32",SUECA (VALENCIA),46410,961700892
CLIENTES IMPORTANTES,"ELSA, OPTICA ENGUIX MANCLUS ELSA",002112,002112,X90,MAC,,,,,,,,0,22,,,VALENCIA,"PASEO PAIS VALENCIANO, 1",TABERNES VALLDIGNA(VALENCI,46760,962823512
ZAS VISION,"TAVERNES, OPTICA GRUPO MONOTROPA, S.L.",003588,008503,,MAC,,,,,,,,0,13,,,VALENCIA,"AUSIAS MARCH, 3 BAJO",TAVERNES BLANQUES-VALENCIA,46016,961861660
CECOP,CENTRE AUDIOPTIC PELLICER TALENS BENJAMIN,008841,008841,W44,MAC,6,4,18,177.00,677.00,12.00,20.00,18,12,12,2012-04-08,VALENCIA,"AVD.GERMANIAS, 29",TAVERNES VALDIGNA-VALENCIA,46760,962837337
CLIENTES IMPORTANTES,"CHULIA, OPTICA OPTICAS CHULIA, S.L.",010521,010521,,MAC,,,,,,,,26,,26,2011-05-04,VALENCIA,"FERNANDO FURIO ROCA, 4",TORRENT (VALENCIA),46900,961570347
CLIENTES IMPORTANTES,"NOVA VISIO, OPTICA NOVA VISIO TORRENT S.L.",007671,007671,,MAC,,0,2,0.00,91.00,0.00,-2.00,2,7,,,VALENCIA,"AZORIN, 38 BAJO",TORRENT (VALENCIA),46900,961567119
OPTICALIA,"UTIEL, OPTICALIA LOPEZ HERNANDEZ EVA Mª",013258,013258,,MAC,,,,,,,,0,2,,,VALENCIA,"SAN FERNANDO, 28",UTIEL (VALENCIA),46300,962172089
ZAS VISION,"BALLESTER, OPTICA OPTICA BALLESTER S.C.P.",003588,002041,,MAC,,21,11,816.00,456.00,23.00,11.00,12,17,11,2012-01-23,VALENCIA,"PZA.ENCARNACION, 2/ESQ.CARNIC.",VALENCIA,46001,963915631
IMPORTANTES 1,"BARELLES, OPTICA BARELLES PASTOR FRANCISCA",004295,004295,,MAC,,0,-2,0.00,-81.00,0.00,-1.00,-1,13,,,VALENCIA,"GUARDIA CIVIL, 22",VALENCIA,46020,963935074
PREFERENTES,"BILBAO, OPTICA CARBONEL GIMENO FILIBERTO",004057,004057,,MAC,,0,1,0.00,45.00,0.00,-2.00,1,10,,,VALENCIA,"BILBAO, 27",VALENCIA,46009,963666211
ZAS VISION,"BRAVO, OPTICA BRAVO INIESTA MARIA LUISA",003588,003634,,MAC,,,,,,,,0,2,,,VALENCIA,"AVDA BURJASOT,210",VALENCIA,46025,963490114
ZAS VISION,"CABAÑAL, C.OPT. BERNABEU PASCUAL",003588,004508,X03,MAC,,0,4,0.00,177.00,0.00,4.00,11,,7,2011-05-31,VALENCIA,"MEDITERRANEO, 26",VALENCIA,46011,963713274
FARMAOPTICS,"CAMPANAR, OPTICA CAMPANAR S.L",002611,002611,,MAC,,0,2,0.00,77.00,0.00,1.00,2,14,,,VALENCIA,"AVD.MEDICO VTE.TORRENT,15",VALENCIA,46015,963475047
CLIENTES IMPORTANTES,"CENTRO FARMACEUTICO (OPTICA)   CENTRO FARMACEUTICO, S.A.",001993,001993,Y31,MAC,,0,9,0.00,348.00,0.00,10.00,9,,,,VALENCIA,"GREMIS, 15 PGN. VARA",VALENCIA,46014,963830318
ZAS VISION,"FERRANLUZ, OPTICA FERRANDIZ LOPEZ ANSELMO",003588,000283,X60,MAC,,0,6,0.00,224.00,0.00,8.00,7,5,,,VALENCIA,"CADIZ, 49",VALENCIA,46006,963336280
CLIENTES IMPORTANTES,"LIZANDRA, OPTICA DIRGO S.L.",006399,006399,Z62,MAC,2,62,0,"2,542.00",0.00,65.00,0.00,,,33,2012-02-27,VALENCIA,"AV. MARQUES DE SOTELO, 7",VALENCIA,46002,963513818
FARMAOPTICS,OPTIFARMA COTINO SOLAZ MERCEDES,004074,004074,,MAC,,1,0,47.00,0.00,1.00,0.00,,,,,VALENCIA,"JAIME ESTEVE CUBELLS,1",VALENCIA,46020,963611155
ZAS VISION,"QUART, OPTICA SORIANO RAMS C.B.",003588,010200,,MAC,,,,,,,,0,9,,,VALENCIA,"QUART, 109-B",VALENCIA,46008,963821399
IMPORTANTES 1,"SANCHIS Y CHAMERO, FCIA.OPT.   SANCHIS Y CHAMERO, S.L.",008412,008412,,MAC,1,38,40,"1,393.00","1,531.00",41.00,42.00,42,17,41,2012-02-22,VALENCIA,"CONVENTO JERUSALEN, 22",VALENCIA,46007,963518334
REDVISUAL-PROVISION,"TECNO-LENT, OPTICA TECNO-LENT OPTICA, S.L.",008985,008985,,MAC,,,,,,,,12,,1,2012-04-20,VALENCIA,"CERAMISTA ROS, 18",VALENCIA,46014,963288595
,"VEGA, OPTICA VEGA CORELL OPTICOS, S.L.",011044,011044,,MAC,,1,0,58.00,0.00,1.00,0.00,,,,,VALENCIA,"PZA.SEGOVIA, 1",VALENCIA,46017,963283564
OPTIMIL ASOCIADOS,OPTIMIL VALLADA PASTOR BALAGUER PILAR,010515,010515,,MAC,,3,0,107.00,0.00,3.00,0.00,,,,,VALENCIA,"AVD.MOLINET, 2 BAJO",VALLADA (VALENCIA),46691,962257154
ALAIN AFFLELOU ASOC.,ALAIN AFFLELOU ASOCIADOS MARTINEZ FOLCH CARMEN,010355,010355,,MAC,,3,4,131.00,169.00,3.00,13.00,4,17,,,VALENCIA,"ALAMEDA JAUME I, 36",XATIVA (VALENCIA),46800,962280908
FEDEROPTICOS,"CANO, OPTICA FOLCH CANO ALICIA",003893,003893,,MAC,,0,0,0.00,0.00,0.00,-2.00,0,22,,,VALENCIA,"PZA. LA BASSA, 28",XATIVA (VALENCIA),46800,962276815
CIOSA,"IBORRA, OPTICA OPTICA ALEJANDRO IBORRA S.L.U",008337,012787,,MAC,,0,0,0.00,0.00,0.00,-1.00,0,35,,,VALENCIA,"CARLOS SARTHOU, 6",XATIVA (VALENCIA),46800,962275179
MULTIOPTICAS,"JATIVA, C.OPT. C.OPT. JATIVA, S.L.",001297,001297,M07,MAC,,0,1,0.00,35.00,0.00,1.00,1,6,,,VALENCIA,BAJADA DE LA ESTACION 6,XATIVA (VALENCIA),46800,962277729
PREFERENTES,MARTINEZ OPTICOS FOLCH MARTINEZ CARMEN,006224,006224,,MAC,,3,0,121.00,0.00,3.00,0.00,,,,,VALENCIA,"PZA. ESPAÑOLETO, 4",XATIVA (VALENCIA),46800,962271985
PREFERENTES,"PILAR ARANDA, OPTICA ARANDA BELLVER PILAR",006611,006611,,MAC,,-1,9,-43.00,406.00,0.00,11.00,10,-1,,,VALENCIA,"TROBAT, 24",XATIVA (VALENCIA),46800,962274799
CLIENTES IMPORTANTES,"VICENTE SANCHO, OPTICA MULTIJOYA, S.L.",011081,011081,,MAC,,1,15,48.00,616.00,-1.00,15.00,28,,14,2011-11-29,VALENCIA,"ALAMEDA JAUME I, 24",XATIVA (VALENCIA),46800,962273029
IMPORTANTES 1,"CENTRAL OPTICA FRONTOMAN, S.A.",000106,000106,,MAX,,0,1,0.00,55.00,0.00,0.00,7,3,,,ALBACETE,"ROSARIO, 62",ALBACETE,02003,967226368
CIOSA,"CLAMOR, C.OPT. OPT.BRAVO Y CLAMOR, C.B.",008337,000355,,MAX,,0,5,0.00,311.00,0.00,5.00,5,,,,ALBACETE,"ROSARIO, 11",ALBACETE,02001,967212086
,"COVI, OPTICA ROMERO HERNANDEZ AMPARO",010542,010542,,MAX,,,,,,,,0,0,,,ALBACETE,"GAONA, 2",ALBACETE,02002,967521010
CECOP,"GARVI, OPT. LOPEZ CRUZ HUMILDAD",003387,003387,,MAX,,0,3,0.00,172.00,0.00,8.00,5,,,,ALBACETE,C/PADRE ROMANO 12,ALBACETE,02005,967520777
CLIENTES IMPORTANTES,"LUIS DIEZ, GRUPO DE MODA MAMPIMAN 3000 ALBACETE, S.L.",011661,011661,,MAX,,,,,,,,0,1,,,ALBACETE,"OCTAVIO CUARTERO, 8 ESQ. MARQUES DE VILLARES",ALBACETE,02003,967247754
CIOSA,M.DOLORES MARIN CILLER MARIN CILLER DOLORES,008337,001479,,MAX,,,,,,,,0,0,,,ALBACETE,"TINTE, 23",ALBACETE,02001,967217568
MULTIOPTICAS,"PEREZ SETIEN, OPTICA PEREZ SETIEN S.A.",001145,001145,M06,MAX,,-4,12,-202.00,668.00,0.00,12.00,21,-1,10,2011-11-08,ALBACETE,"ROSARIO, 35",ALBACETE,02001,967214821
CECOP,"HOYOS, C.OPT. HOYOS COSTA RAQUEL",008293,008293,,MAX,,,,,,,,0,5,,,ALBACETE,"SAN FRANCISCO, 1",ALMANSA (ALBACETE),02640,967343450
MULTIOPTICAS,MULTIOPTICAS OPTICA FAJARDO C.B.,007943,007943,M06,MAX,,5,7,298.00,408.00,5.00,7.00,9,6,5,2012-03-14,ALBACETE,"GRAN VIA, 25",HELLIN (ALBACETE),02400,967302832
MULTIOPTICAS,"PEREZ SETIEN, OPTICO LA RODA VISION S.L.",005251,005251,M06,MAX,,0,1,0.00,61.00,0.00,2.00,1,0,,,ALBACETE,"PZ. MAYOR, 18","RODA, LA (ALBACETE)",02630,967441860
FEDEROPTICOS,"CONTRERAS, C.OPT. C.OPT.CONTRERAS,S.L.",004075,004075,,MAX,,6,0,341.00,0.00,1.00,0.00,9,1,14,2011-11-08,ALBACETE,"GRACIANO ATIENZA, 7",VILLARROBLEDO(ALBACETE),02600,967142846
CIOSA,"ALCOY 2 OPTICA BELEN MUNTANER, S.L.",008337,008685,X34,MAX,,,,,,,,-2,0,,,ALICANTE,"ALZAMORA, 44 C.C. ALZAMORA",ALCOY (ALICANTE),03802,965335801
ZAS VISION,"FRANCES, OPTICA FRANCES VILAPLANA Mª ANGELES",003588,005116,,MAX,1,2,13,120.00,786.00,3.00,18.00,22,13,3,2012-03-09,ALICANTE,"SANTA  ROSA, 18",ALCOY (ALICANTE),03802,965331083
CLARAVISION,CLARAVISION 12 ALCOY OPTICA CLARAVISION ALCOY S.L.L,011640,011640,,MAX,,0,-1,0.00,-47.00,0.00,0.00,-1,2,,,ALICANTE,"AVD.ALAMEDA, 71",ALCOY(ALICANTE),03802,965523307
VISTALIA,"NOVALUZ, OPT. NOVALUZ S.L.",007713,007713,,MAX,,,,,,,,0,1,,,ALICANTE,"AVD.PAIS VALENCIANO, 10 LOCAL  9",ALFAZ DEL PI (ALICANTE),03580,966860020
OPTIMIL ASOCIADOS,"AZUL MARINO, C.OPT. CORREAS LORENTE ISABEL",008395,008395,,MAX,,,,,,,,0,1,,,ALICANTE,"AVD. DE LA ESTACIóN, 20",ALICANTE,03005,965217718
PREFERENTES,"CAMBRODI, OPTICA OPTICA CAMBRODI, S.L",012629,012629,,MAX,,0,4,0.00,241.00,0.00,6.00,6,12,,,ALICANTE,"PLAZA PIO XII, 6",ALICANTE,03013,965208564
IMPORTANTES 1,"O'DONNELL, C.OPT. O'DONNELL CENTRO OPTICO, S.L.",007236,007236,,MAX,,,,,,,,-1,0,,,ALICANTE,"O'DONNELL, 16",ALICANTE,03003,965202200
,"ROMEU, OPTICA ROMEU CARRATALA LUIS IGNACIO",010239,010239,,MAX,,0,1,0.00,72.00,0.00,1.00,1,,,,ALICANTE,"AVD. DE ALCOY, 47 BAJO",ALICANTE,03009,965241135
IMPORTANTES 1,"SAN MATEO, OPT. PROFESALUD, S.L",012760,012760,Y40,MAX,,0,23,0.00,"1,329.00",0.00,24.00,38,,14,2011-09-09,ALICANTE,"SAN MATEO, 24",ALICANTE,03013,965209155
CIOSA,"SANTO DOMINGO, OPTICA OPTICA STO.DOMINGO, C.B.",008337,003543,,MAX,,0,-1,0.00,-84.00,0.00,0.00,-1,,,,ALICANTE,"CONCEJAL L.LLANERAS, 2",ALICANTE,03005,965922655
IMPORTANTES 1,"SAMPERE, OPTICA SEMPERE MTNEZ MANUEL LUIS",005789,005789,Y29,MAX,,,,,,,,-1,,,,ALICANTE,"PINTOR SOROLLA, 43",ALMORADI (ALICANTE),03160,965700521
PREFERENTES,INTEROPTICA GREGORI SENDRA JOSEFA MARIA,008855,008855,,MAX,,0,3,0.00,182.00,0.00,3.00,3,0,,,ALICANTE,"PJE.CONSTITUCION, 4 LOCAL-13",ALTEA (ALICANTE),03590,965843857
CIOSA,"OCULUS, OPTICA PUERTO CALPENA LUIS",008337,011511,,MAX,,0,-2,0.00,-124.00,0.00,0.00,-2,18,,,ALICANTE,"AVD.PADRE ISMAEL, 61",ASPE (ALICANTE),03680,965491820
FARMAOPTICS,"JEOJ, OPT. JOAQUIN ORTIZ S.L.",002983,002983,,MAX,,,,,,,,0,0,,,ALICANTE,TOMAS ORTUÑO. 65,BENIDORM (ALICANTE),03501,965850028
CIOSA,"LA CALA, OPTICA OPTICA LA CALA, S.L.",008337,008308,,MAX,,3,1,226.00,49.00,3.00,0.00,1,1,,,ALICANTE,"AV. VILLAJOYOSA, 28",BENIDORM (ALICANTE),03502,966807256
CLIENTES IMPORTANTES,"VEGA BAJA, OPTICA PINA NOGUERA PATRICIA",006972,006972,,MAX,,,,,,,,0,-1,,,ALICANTE,"DESAMPARADOS, 9",CALLOSA SEGURA (ALICANTE),03360,966758838
CIOSA,"ATHAVI, OPTICA ATHANE FERNANDEZM ANUNCIACION",008337,008925,,MAX,,1,1,61.00,67.00,1.00,1.00,9,0,,,ALICANTE,"GABRIEL MIRO, 33",CALPE (ALICANTE),03710,965875574
CLIENTES IMPORTANTES,"EL ALTET, C.OPT. CANDELA BOTELLA SUSANA",005890,005890,,MAX,,0,15,0.00,851.00,0.00,15.00,15,0,,,ALICANTE,"AV. DAMA DE ELCHE, 7",EL ALTET (ALICANTE),03195,965687833
ALAIN AFFLELOU ASOC.,ALAIN AFFLELOU ASOCIADOS ENA OPTICAS S.L.,011449,011449,,MAX,,0,14,0.00,773.00,0.00,17.00,16,,,,ALICANTE,"C/ CORREDERA , 53",ELCHE (ALICANTE),03202,965450696
CECOP,"AVENIDA, C.OPT. SANCHEZ GOMEZ MIRIAM",007160,007160,,MAX,,0,1,0.00,52.00,0.00,0.00,1,-1,,,ALICANTE,"AVDA.ALICANTE, 87",ELCHE (ALICANTE),03202,966615215
CLIENTES IMPORTANTES,"ELCHE, C.OPT. ELCHE OPTICA TRADE S.L.",009114,009114,,MAX,,0,3,0.00,153.00,0.00,4.00,4,,,,ALICANTE,"REINA VICTORIA, 34",ELCHE (ALICANTE),03201,966660058
,"MADRID, OPTICA MARTINEZ PEREZ FRANCISCO",008235,008235,,MAX,,2,6,109.00,368.00,2.00,7.00,6,9,1,2012-01-26,ALICANTE,"JOSE NAVARRO ORTS, 20",ELCHE (ALICANTE),03205,965425207
CIOSA,"PUNTO OPTICO OPTIK SHOP, S.L.",008337,010973,,MAX,,-1,13,-51.00,713.00,0.00,15.00,14,,,,ALICANTE,"SAN VICENTE, 1",ELCHE (ALICANTE),03202,965453008
CECOP,CENTROVISION IRIS VICENTE CLIMENT PEDRO JOSE,003773,003773,,MAX,,1,0,57.00,0.00,1.00,0.00,,,,,ALICANTE,"ANTONIA SANSANO FRANCO, 24",ELCHE-ALICANTE,03204,966631157
IMPORTANTES 1,B.&.N OPTICAS CALLADO CRESPI ESPERANZA,008317,008317,,MAX,,-2,8,-106.00,429.00,0.00,9.00,8,7,,,ALICANTE,"ANTONINO VERA, 31",ELDA (ALICANTE),03600,966982171
CLIENTES IMPORTANTES,"ELDA, C.OPT. ELDA INVERSIONES DE OPTICA S.L",009301,009301,Y72,MAX,,0,-1,0.00,-55.00,0.00,0.00,-1,,,,ALICANTE,"PADRE MANJON, 4",ELDA (ALICANTE),03600,965393526
IMPORTANTES 1,"OPTIVER OPTIVER OPTICOS, S.L.",006046,006046,Y57,MAX,,,,,,,,1,-1,,,ALICANTE,"PADRE MANJON, 9",ELDA (ALICANTE),03600,965381198
IMPORTANTES 1,SAN MATEO  II SAN MATEO S.L.,000655,000655,Y40,MAX,,0,-1,0.00,-61.00,0.00,0.00,-2,0,,,ALICANTE,"REYES CATOLICOS, 14",ELDA (ALICANTE),03600,965397197
VISTALIA,VISTALIA GUARDAMAR TORREGROSA FDEZ ENCARNACION,005319,005319,,MAX,,,,,,,,0,2,,,ALICANTE,"MAYOR, 23",GUARDAMAR (ALICANTE),03140,965727201
REDVISUAL-PROVISION,"IBIOPTICS, OPT. ANTONIO SOLA ALCOLEA",011904,011904,,MAX,,0,-1,0.00,-64.00,0.00,-1.00,-2,13,,,ALICANTE,"PZA. MIGUEL SERVET,4",IBI (ALICANTE),03440,966553690
,"ANA, OPTICA ALCOLEA GONZALEZ ANA",004410,004410,,MAX,,,,,,,,1,0,,,ALICANTE,"RICARDO LEAL, 1",MONOVAR (ALICANTE),03640,966960621
NATURAL OPTICS,"NOVELDA, C.OPT. MARTINEZ GARCIA JUAN",005106,005106,,MAX,,,,,,,,0,-2,,,ALICANTE,"JAIME II, 44",NOVELDA (ALICANTE),03660,965624655
IMPORTANTES 1,SAN MATEO SAN MATEO S.L.,007115,007115,Y40,MAX,,0,-1,0.00,-69.00,0.00,0.00,-1,,,,ALICANTE,"JAIME II, 14",NOVELDA (ALICANTE),03660,965606729
CLIENTES IMPORTANTES,"AGRASOT, OPTICA OPTICA AGRASOT, S.L.",009039,009039,,MAX,,0,1,0.00,66.00,0.00,0.00,,,,,ALICANTE,"PINTOR AGRASOT, 44",ORIHUELA (ALICANTE),03300,965303061
CIOSA,INNOVISION CENTRO OPTICO INNOVISION C.B.,008337,006742,,MAX,,0,14,0.00,785.00,0.00,14.00,15,,,,ALICANTE,"JOSE ANTONIO, 14",ORIHUELA (ALICANTE),03300,965304937
PREFERENTES,"PERALTA, OPTICA PERALTA RODRIGUEZ JULIO",011058,011058,,MAX,,1,17,63.00,"1,082.00",-1.00,22.00,24,,6,2011-10-25,ALICANTE,"TENIENTE LINARES, 10",ORIHUELA (ALICANTE),03300,965300779
CIOSA,"COSTA, OPTICA COSTA DURA ADELA",008337,005021,,MAX,,4,0,261.00,0.00,5.00,0.00,0,11,,,ALICANTE,"AVDA. JAIME I, 56",PEDREGUER (ALICANTE),03750,966456504
CECOP,"PEGO, OPTICA MENGUAL TAVALLO GLORIA",009259,009259,,MAX,,1,1,53.00,55.00,0.00,0.00,11,3,12,2011-09-30,ALICANTE,"JAIME I, 2",PEGO (ALICANTE),03780,965572326
NATURAL OPTICS,VISUAL 20 PRIETO HERNANDEZ FRANCISCO,010153,010153,,MAX,,,,,,,,0,1,,,ALICANTE,"HISTORIADOR VICENTE RAMOS, 3",PLAYA DE SAN JUAN (ALICANT,03540,965157240
PREFERENTES,"RODRIGUEZ, OPTICA OPTICA URBANIZACION, S.L.",009208,009208,,MAX,,,,,,,,0,1,,,ALICANTE,"AVD.LAS NACIONES, 1A LOCAL 7   URB.CIUDAD QUESADA",ROJALES (ALICANTE),03170,966717091
ALAIN AFFLELOU ASOC.,ALAIN AFFLELOU ASOCIADOS ENA OPTICAS S.L,012420,012420,,MAX,,0,10,0.00,560.00,0.00,11.00,11,,,,ALICANTE,"AV. ALICANTE,24 BAJO",S VICENTE RASPEIG(ALICANTE,03690,966370920
CLIENTES IMPORTANTES,OPTIMA GRUPO OPT.VICTORIA PLAYA S.L.,011676,011676,Z60,MAX,,,,,,,,0,-1,,,ALICANTE,"AMSTERDAM, LOCAL 14 B URB.LA MARINA",SAN FULGENCIO (ALICANTE),03177,965419181
IMPORTANTES 1,"CHANTAL, OPTICA (SOL) OPCHANTAL S.L.",002091,002091,Y30,MAX,,0,10,0.00,551.00,0.00,14.00,14,,,,ALICANTE,"RAMON GALLUD, 62",TORREVIEJA (ALICANTE),03181,965706077
IMPORTANTES 1,"CHANTAL, OPTICA (VISTA) SANCHEZ TORDJMACHANTAL FELISA",006729,006729,Y30,MAX,,,,,,,,0,17,,,ALICANTE,"RAMON GALLUD, 60  A",TORREVIEJA (ALICANTE),03181,965711868
REDVISUAL-PROVISION,"TOMAS ROCHA, OPTICA INMOMIX VISION, S.L.U.",012513,012513,,MAX,,,,,,,,0,5,,,ALICANTE,"COLON, 6",VILLAJOYOSA (ALICANTE),03570,966851018
OPTICALIA,"MURILLO OPTICOS MURILLO OPTICOS, S.C.",006436,006436,,MAX,,,,,,,,-2,-1,,,ALICANTE,"JOAQUIN MARIA LOPEZ, 15",VILLENA (ALICANTE),03400,965801495
CLIENTES IMPORTANTES,"PARRA, OPT. OPTICA PARRA S.L",002341,002341,,MAX,,6,2,343.00,110.00,0.00,7.00,14,5,12,2011-12-01,ALICANTE,"TRINIDAD, 17",VILLENA (ALICANTE),03400,965802227
IMPORTANTES 1,"MAESTRAT, OPTICA OPTICA MAESTRAT, S.L.",004526,004526,Z65,MAX,,,,,,,,0,-7,,,CASTELLON,"PZA.MERCAT, 7",BENICARLO (CASTELLON),12580,964460325
CIOSA,"ELIPE, C.OPT. C.OPT.ELIPE, C.B.",008337,003367,,MAX,,,,,,,,-1,1,,,CASTELLON,"SAN FELIX, 25",CASTELLON,12004,964250490
REDVISUAL-PROVISION,"ORTEGA MARCO, OPT. ORTEGA MARCO, MARIA JOSE",000997,000997,W53,MAX,,0,-1,0.00,-62.00,0.00,0.00,-1,4,,,CASTELLON,"HERRERO, 52",CASTELLON,12005,964207190
